0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,URL
North Carolina State,ACC,FR,QB,11,73,-87,-1.2,2,1,19,19.0,1,74,-68,-0.9,3,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
North Carolina State,ACC,SO,QB,11,44,-26,-0.6,2,1,3,3.0,0,45,-23,-0.5,2,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
North Carolina State,ACC,JR,QB,14,57,100,1.8,10,57,100,1.8,10,,,,,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
North Carolina State,ACC,SR,QB,13,78,109,1.4,3,1,-5,-5.0,0,79,104,1.3,3,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
North Carolina State,252,96,0.4,17,3,17,5.7,1,255,113,0.4,18,,,,,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html
Miami (OH),MAC,FR,QB,12,120,189,1.6,3,120,189,1.6,3,,,,,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html
Miami (OH),MAC,SO,QB,12,82,-54,-0.7,1,82,-54,-0.7,1,,,,,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html
Miami (OH),MAC,JR,QB,14,67,111,1.7,3,67,111,1.7,3,,,,,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html
Miami (OH),269,246,0.9,7,269,246,0.9,7,,,,,,,,,https://www.sports-reference.com/cfb/players/ben-roethlisberger-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/matt-schaub-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/matt-schaub-1.html
Virginia,ACC,FR,QB,3,3,-1,-0.3,0,3,-1,-0.3,0,,,,,https://www.sports-reference.com/cfb/players/matt-schaub-1.html
Virginia,ACC,SO,QB,12,33,-13,-0.4,2,33,-13,-0.4,2,,,,,https://www.sports-reference.com/cfb/players/matt-schaub-1.html
