Player,Season,Age,Team,G,GS,AV,Pos
Jerrel Jernigan,2011,22,NYG,8,0,0,WR
Jaymar Johnson,2011,27,ARI,1,0,0,WR
Max Komar,2011,24,CHI,2,0,0,WR
Jeff Maehl,2011,22,HOU,3,0,0,WR
Kerry Meier,2011,25,ATL,12,0,0,WR
Carlton Mitchell,2011,23,CLE,11,0,0,WR
Marlon Moore,2011,24,MIA,6,0,0,WR
Jamar Newsome,2011,24,JAX,2,0,0,WR
Kassim Osgood,2011,31,JAX,12,2,0,WR
Roscoe Parrish,2011,29,BUF,2,2,0,WR
Niles Paul,2011,22,WAS,13,2,0,WR
Taylor Price,2011,24,"JAX,NWE",5,0,0,WR
Julius Pruitt,2011,26,MIA,9,0,0,WR
David Reed,2011,24,BAL,11,0,0,WR
Eron Riley,2011,24,NYJ,1,0,0,WR
Brian Robiskie,2011,24,CLE,6,2,0,WR
Courtney Roby,2011,28,NOR,16,0,0,WR
DeMarco Sampson,2011,26,ARI,12,0,0,WR
Wes Welker,2012,31,NWE,16,12,15,WR
Calvin Johnson,2012,27,DET,16,16,14,WR
Brandon Marshall,2012,28,CHI,16,16,14,WR
Roddy White,2012,31,ATL,16,15,14,WR
A.J. Green,2012,24,CIN,16,16,13,WR
Vincent Jackson,2012,29,TAM,16,16,13,WR
Andre Johnson,2012,31,HOU,16,16,13,WR
Julio Jones,2012,23,ATL,16,15,13,WR
Demaryius Thomas,2012,25,DEN,16,16,13,WR
Victor Cruz,2012,26,NYG,16,16,12,WR
Dez Bryant,2012,24,DAL,16,14,11,WR
Randall Cobb,2012,22,GNB,15,8,11,WR
Reggie Wayne,2012,34,IND,16,15,11,WR
Michael Crabtree,2012,25,SFO,16,16,10,WR
Brandon Lloyd,2012,31,NWE,16,15,10,WR
Steve Smith Sr.,2012,33,CAR,16,16,10,WR
Anquan Boldin,2012,32,BAL,15,15,9,WR
Marques Colston,2012,29,NOR,16,13,9,WR
Eric Decker,2012,25,DEN,16,15,9,WR
Percy Harvin,2012,24,MIN,9,8,9,WR
Steve Johnson,2012,26,BUF,16,16,9,WR
Sidney Rice,2012,26,SEA,16,16,9,WR
Mike Williams,2012,25,TAM,16,16,9,WR
Brian Hartline,2012,26,MIA,16,15,8,WR
T.Y. Hilton,2012,23,IND,15,1,8,WR
Lance Moore,2012,29,NOR,15,7,8,WR
Hakeem Nicks,2012,24,NYG,13,11,8,WR
Torrey Smith,2012,23,BAL,16,16,8,WR
Golden Tate,2012,24,SEA,15,15,8,WR
Miles Austin,2012,28,DAL,16,15,7,WR
Malcom Floyd,2012,31,SDG,14,14,7,WR
Pierre Garcon,2012,26,WAS,10,10,7,WR
Jacoby Jones,2012,28,BAL,16,3,7,WR
James Jones,2012,28,GNB,16,16,7,WR
Jeremy Kerley,2012,24,NYJ,16,7,7,WR
Jordy Nelson,2012,27,GNB,12,10,7,WR
Cecil Shorts,2012,25,JAX,14,9,7,WR
Mike Wallace,2012,26,PIT,15,14,7,WR
Donnie Avery,2012,28,IND,16,15,6,WR
Davone Bess,2012,27,MIA,13,13,6,WR
Justin Blackmon,2012,22,JAX,16,14,6,WR
Antonio Brown,2012,24,PIT,13,10,6,WR
Josh Gordon,2012,21,CLE,16,13,6,WR
Leonard Hankerson,2012,23,WAS,16,5,6,WR
Domenik Hixon,2012,28,NYG,13,3,6,WR
Brandon LaFell,2012,26,CAR,14,12,6,WR
Jeremy Maclin,2012,24,PHI,15,15,6,WR
Josh Morgan,2012,27,WAS,16,15,6,WR
Santana Moss,2012,33,WAS,16,1,6,WR
Danario Alexander,2012,26,SDG,10,6,5,WR
Danny Amendola,2012,27,STL,11,8,5,WR
Dwayne Bowe,2012,28,KAN,13,12,5,WR
Larry Fitzgerald,2012,29,ARI,16,16,5,WR
Brandon Gibson,2012,25,STL,16,13,5,WR
Chris Givens,2012,23,STL,15,12,5,WR
Andrew Hawkins,2012,26,CIN,14,2,5,WR
Darrius Heyward-Bey,2012,25,OAK,15,14,5,WR
DeSean Jackson,2012,26,PHI,11,11,5,WR
Michael Jenkins,2012,30,MIN,16,8,5,WR
Greg Little,2012,23,CLE,16,16,5,WR
Denarius Moore,2012,24,OAK,15,15,5,WR
Andre Roberts,2012,24,ARI,15,15,5,WR
Emmanuel Sanders,2012,25,PIT,16,7,5,WR
Brandon Stokley,2012,36,DEN,15,9,5,WR
Nate Washington,2012,29,TEN,16,14,5,WR
Kendall Wright,2012,23,TEN,15,5,5,WR
Jason Avant,2012,29,PHI,14,6,4,WR
Doug Baldwin,2012,24,SEA,14,4,4,WR
Kenny Britt,2012,24,TEN,14,11,4,WR
Harry Douglas,2012,28,ATL,15,1,4,WR
Julian Edelman,2012,26,NWE,9,3,4,WR
Donald Jones,2012,25,BUF,12,10,4,WR
Mario Manningham,2012,26,SFO,12,10,4,WR
Randy Moss,2012,35,SFO,16,2,4,WR
Kevin Ogletree,2012,25,DAL,15,1,4,WR
Micheal Spurlock,2012,29,"JAX,SDG",14,1,4,WR
Rod Streater,2012,24,OAK,16,2,4,WR
Tiquan Underwood,2012,25,TAM,14,3,4,WR
Kevin Walter,2012,31,HOU,16,14,4,WR
Jarius Wright,2012,23,MIN,7,1,4,WR
Ramses Barden,2012,26,NYG,12,1,3,WR
Travis Benjamin,2012,23,CLE,14,3,3,WR
Earl Bennett,2012,25,CHI,12,4,3,WR
Armon Binns,2012,23,"CIN,MIA",11,5,3,WR
Michael Floyd,2012,23,ARI,16,3,3,WR
Dwayne Harris,2012,25,DAL,16,0,3,WR
Devery Henderson,2012,30,NOR,15,9,3,WR
Alshon Jeffery,2012,22,CHI,10,6,3,WR
Greg Jennings,2012,29,GNB,8,5,3,WR
Damaris Johnson,2012,23,PHI,14,1,3,WR
Joe Morgan,2012,24,NOR,14,5,3,WR
Louis Murphy,2012,25,CAR,16,5,3,WR
Rueben Randle,2012,21,NYG,16,1,3,WR
Darius Reynaud,2012,28,TEN,16,0,3,WR
Aldrick Robinson,2012,24,WAS,15,2,3,WR
Jerome Simpson,2012,26,MIN,12,10,3,WR
Brad Smith,2012,29,BUF,15,2,3,WR/QB
Delanie Walker,2012,28,SFO,16,4,3,WR
Titus Young,2012,23,DET,10,8,3,WR
Devin Aromashodu,2012,28,MIN,15,0,2,WR
Jonathan Baldwin,2012,23,KAN,15,7,2,WR
Deion Branch,2012,33,NWE,10,4,2,WR
Ryan Broyles,2012,24,DET,10,3,2,WR
Nate Burleson,2012,31,DET,6,5,2,WR
Riley Cooper,2012,25,PHI,11,5,2,WR
Jerricho Cotchery,2012,30,PIT,14,2,2,WR
Braylon Edwards,2012,29,"NYJ,SEA",13,4,2,WR
Clyde Gates,2012,26,NYJ,11,2,2,WR
Derek Hagan,2012,28,OAK,14,2,2,WR
Devin Hester,2012,30,CHI,15,5,2,WR
Stephen Hill,2012,21,NYJ,11,8,2,WR
Trindon Holliday,2012,26,"DEN,HOU",15,0,2,WR
Santonio Holmes,2012,28,NYJ,4,4,2,WR
Marvin Jones,2012,22,CIN,11,5,2,WR
Mohamed Massaquoi,2012,26,CLE,9,5,2,WR
Robert Meachem,2012,28,SDG,15,3,2,WR
Niles Paul,2012,23,WAS,16,4,2,WR
Austin Pettis,2012,24,STL,14,2,2,WR
Laurent Robinson,2012,27,JAX,7,4,2,WR
Eddie Royal,2012,26,SDG,10,2,2,WR
Mohamed Sanu,2012,23,CIN,9,3,2,WR
Chaz Schilens,2012,27,NYJ,15,6,2,WR
Jordan Shipley,2012,27,"JAX,TAM",7,2,2,WR
Brandon Tate,2012,25,CIN,16,3,2,WR
Mike Thomas,2012,25,"DET,JAX",16,4,2,WR
Damian Williams,2012,24,TEN,13,2,2,WR
Kyle Williams,2012,24,SFO,11,3,2,WR
David Ausberry,2012,25,OAK,16,0,1,WR
Cole Beasley,2012,23,DAL,10,0,1,WR
LaVon Brazill,2012,23,IND,15,0,1,WR
Josh Cooper,2012,23,CLE,6,0,1,WR
Terrance Copper,2012,30,KAN,15,0,1,WR
Josh Cribbs,2012,29,CLE,16,2,1,WR
Juron Criner,2012,23,OAK,12,0,1,WR
Tandon Doss,2012,23,BAL,14,0,1,WR
Early Doucet,2012,27,ARI,12,3,1,WR
Donald Driver,2012,37,GNB,13,1,1,WR
Kris Durham,2012,24,DET,4,3,1,WR
Kevin Elliott,2012,24,JAX,13,1,1,WR
Jabar Gaffney,2012,32,MIA,3,0,1,WR
Lestar Jean,2012,24,HOU,14,1,1,WR
Elbert Mack,2012,26,NOR,7,2,1,WR
Keshawn Martin,2012,22,HOU,16,1,1,WR
Rishard Matthews,2012,23,MIA,8,1,1,WR
Marlon Moore,2012,25,MIA,14,2,1,WR
Jordan Norwood,2012,26,CLE,2,0,1,WR
Ben Obomanu,2012,29,SEA,8,0,1,WR
DeVier Posey,2012,22,HOU,11,0,1,WR
Brian Quick,2012,23,STL,15,1,1,WR
David Reed,2012,25,BAL,5,0,1,WR
Steve Smith,2012,27,STL,9,2,1,WR
Donte' Stallworth,2012,32,NWE,1,0,1,WR
Matt Willis,2012,28,DEN,15,0,1,WR
Joe Adams,2012,23,CAR,9,0,0,WR
Kris Adams,2012,25,IND,3,0,0,WR
Kamar Aiken,2012,23,NWE,1,0,0,WR
Seyi Ajirotutu,2012,25,SDG,3,1,0,WR
Joe Anderson,2012,24,CHI,3,0,0,WR
Anthony Armstrong,2012,29,"DAL,MIA",6,0,0,WR
Brandon Banks,2012,25,WAS,12,0,0,WR
Josh Bellamy,2012,23,KAN,3,0,0,WR
Arrelious Benn,2012,24,TAM,8,1,0,WR
Jarrett Boykin,2012,23,GNB,10,0,0,WR
Steve Breaston,2012,29,KAN,10,4,0,WR
Dezmon Briscoe,2012,23,WAS,7,0,0,WR
Mike Brown,2012,23,JAX,2,1,0,WR
Plaxico Burress,2012,35,PIT,4,3,0,WR
Stephen Burton,2012,23,MIN,12,1,0,WR
Deon Butler,2012,26,SEA,1,0,0,WR
LaRon Byrd,2012,23,ARI,4,0,0,WR
Andre Caldwell,2012,27,DEN,8,0,0,WR
Greg Camarillo,2012,30,NOR,5,0,0,WR
Toney Clemons,2012,24,JAX,4,0,0,WR
Austin Collie,2012,27,IND,1,0,0,WR
Kevin Cone,2012,24,ATL,12,0,0,WR
Quan Cosby,2012,30,JAX,2,0,0,WR
Drew Davis,2012,23,ATL,16,0,0,WR
David Douglas,2012,23,TAM,1,0,0,WR
Marcus Easley,2012,25,BUF,3,0,0,WR
David Gettis,2012,25,CAR,2,0,0,WR
David Gilreath,2012,24,PIT,3,0,0,WR
Mardy Gilyard,2012,26,"NYJ,PHI",8,0,0,WR
Ted Ginn Jr.,2012,27,SFO,13,0,0,WR
Richard Goodman,2012,25,SDG,7,0,0,WR
Chad Hall,2012,26,SFO,0,0,0,WR
Lavelle Hawkins,2012,26,TEN,7,1,0,WR
Junior Hemingway,2012,24,KAN,1,0,0,WR
Jason Hill,2012,27,NYJ,4,0,0,WR
Andre Holmes,2012,24,DAL,7,0,0,WR
A.J. Jenkins,2012,23,SFO,3,0,0,WR
Jerrel Jernigan,2012,23,NYG,9,0,0,WR
Jermaine Kearse,2012,22,SEA,7,1,0,WR
Charly Martin,2012,28,SEA,4,1,0,WR
Ruvell Martin,2012,30,BUF,14,0,0,WR
Marvin McNutt,2012,23,PHI,4,0,0,WR
Evan Moore,2012,27,"PHI,SEA",15,1,0,WR
Legedu Naanee,2012,29,MIA,4,1,0,WR
David Nelson,2012,26,BUF,1,1,0,WR
Jamar Newsome,2012,25,KAN,6,2,0,WR
Kassim Osgood,2012,32,DET,16,0,0,WR
Antonio Brown,2013,25,PIT,16,14,14,WR
Alshon Jeffery,2013,23,CHI,16,14,14,WR
Demaryius Thomas,2013,26,DEN,16,16,14,WR
A.J. Green,2013,25,CIN,16,16,13,WR
Anquan Boldin,2013,33,SFO,16,16,12,WR
Dez Bryant,2013,25,DAL,16,16,12,WR
Eric Decker,2013,26,DEN,16,16,12,WR
Calvin Johnson,2013,28,DET,14,14,12,WR
Brandon Marshall,2013,29,CHI,16,16,12,WR
DeSean Jackson,2013,27,PHI,16,16,11,WR
Jordy Nelson,2013,28,GNB,16,16,11,WR
Keenan Allen,2013,21,SDG,15,14,10,WR
Josh Gordon,2013,22,CLE,14,14,10,WR
T.Y. Hilton,2013,24,IND,16,10,10,WR
Vincent Jackson,2013,30,TAM,16,16,10,WR
Marques Colston,2013,30,NOR,15,11,9,WR
Harry Douglas,2013,29,ATL,16,11,9,WR
Julian Edelman,2013,27,NWE,16,11,9,WR
Pierre Garcon,2013,27,WAS,16,16,9,WR
Golden Tate,2013,25,SEA,16,13,9,WR
Kendall Wright,2013,24,TEN,16,12,9,WR
Doug Baldwin,2013,25,SEA,16,9,8,WR
Michael Floyd,2013,24,ARI,16,16,8,WR
Greg Jennings,2013,30,MIN,15,15,8,WR
Andre Johnson,2013,32,HOU,16,16,8,WR
Cordarrelle Patterson,2013,22,MIN,16,6,8,WR
Steve Smith Sr.,2013,34,CAR,15,15,8,WR
Nate Washington,2013,30,TEN,16,15,8,WR
Riley Cooper,2013,26,PHI,16,15,7,WR
Larry Fitzgerald,2013,30,ARI,16,16,7,WR
Brian Hartline,2013,27,MIA,16,15,7,WR
James Jones,2013,29,GNB,14,14,7,WR
Marvin Jones,2013,23,CIN,16,3,7,WR
Brandon LaFell,2013,27,CAR,16,16,7,WR
Dexter McCluster,2013,24,KAN,15,6,7,WR
Emmanuel Sanders,2013,26,PIT,16,10,7,WR
Jerome Simpson,2013,27,MIN,16,8,7,WR
Torrey Smith,2013,24,BAL,16,16,7,WR
Rod Streater,2013,25,OAK,16,14,7,WR
Mike Wallace,2013,27,MIA,16,16,7,WR
Wes Welker,2013,32,DEN,13,13,7,WR
Terrance Williams,2013,24,DAL,16,8,7,WR
Danny Amendola,2013,28,NWE,12,6,6,WR
Tavon Austin,2013,23,STL,13,3,6,WR
Donnie Avery,2013,29,KAN,16,14,6,WR
Dwayne Bowe,2013,29,KAN,15,15,6,WR
Jarrett Boykin,2013,24,GNB,16,8,6,WR
Victor Cruz,2013,27,NYG,14,12,6,WR
Ted Ginn Jr.,2013,28,CAR,16,2,6,WR
Hakeem Nicks,2013,25,NYG,15,15,6,WR
Eddie Royal,2013,27,SDG,15,3,6,WR
Kenny Stills,2013,21,NOR,16,10,6,WR
Roddy White,2013,32,ATL,13,13,6,WR
Vincent Brown,2013,24,SDG,16,12,5,WR
Jerricho Cotchery,2013,31,PIT,16,6,5,WR
Aaron Dobson,2013,22,NWE,12,9,5,WR
Chris Givens,2013,24,STL,16,13,5,WR
DeAndre Hopkins,2013,21,HOU,16,16,5,WR
Steve Johnson,2013,27,BUF,12,12,5,WR
Julio Jones,2013,24,ATL,5,5,5,WR
Denarius Moore,2013,25,OAK,13,10,5,WR
Cecil Shorts,2013,26,JAX,13,13,5,WR
Reggie Wayne,2013,35,IND,7,7,5,WR
Robert Woods,2013,21,BUF,14,14,5,WR
Jason Avant,2013,30,PHI,16,13,4,WR
Cole Beasley,2013,24,DAL,14,3,4,WR
Nate Burleson,2013,32,DET,9,8,4,WR
Randall Cobb,2013,23,GNB,6,4,4,WR
Kris Durham,2013,25,DET,16,13,4,WR
Ladarius Green,2013,23,SDG,16,10,4,WR
Jacoby Jones,2013,29,BAL,12,9,4,WR
Jermaine Kearse,2013,23,SEA,15,5,4,WR
Jeremy Kerley,2013,25,NYJ,12,8,4,WR
Lance Moore,2013,30,NOR,13,5,4,WR
Austin Pettis,2013,25,STL,16,6,4,WR
Rueben Randle,2013,22,NYG,16,3,4,WR
Andre Roberts,2013,25,ARI,16,2,4,WR
Mohamed Sanu,2013,24,CIN,16,14,4,WR
Kenbrell Thompkins,2013,25,NWE,12,8,4,WR
Tiquan Underwood,2013,26,TAM,12,7,4,WR
Jarius Wright,2013,24,MIN,16,3,4,WR
Justin Blackmon,2013,23,JAX,4,4,3,WR
Marlon Brown,2013,22,BAL,14,12,3,WR
Mike Brown,2013,24,JAX,11,6,3,WR
Michael Crabtree,2013,26,SFO,5,5,3,WR
Tandon Doss,2013,24,BAL,15,2,3,WR
T.J. Graham,2013,24,BUF,16,6,3,WR
Darrius Heyward-Bey,2013,26,IND,16,11,3,WR
Andre Holmes,2013,25,OAK,10,4,3,WR
Santonio Holmes,2013,29,NYJ,11,11,3,WR
Justin Hunter,2013,22,TEN,14,0,3,WR
Greg Little,2013,24,CLE,16,13,3,WR
Robert Meachem,2013,29,NOR,15,5,3,WR
Santana Moss,2013,34,WAS,16,1,3,WR
David Nelson,2013,27,NYJ,12,6,3,WR
Kevin Ogletree,2013,26,"DET,TAM",16,2,3,WR
Brian Quick,2013,24,STL,16,5,3,WR
Jeremy Ross,2013,25,"DET,GNB",13,2,3,WR
Ace Sanders,2013,22,JAX,15,4,3,WR
Miles Austin,2013,29,DAL,11,8,2,WR
Stedman Bailey,2013,23,STL,16,2,2,WR
Travis Benjamin,2013,24,CLE,8,3,2,WR
Earl Bennett,2013,26,CHI,15,3,2,WR
Davone Bess,2013,28,CLE,14,3,2,WR
LaVon Brazill,2013,24,IND,10,0,2,WR
Andre Caldwell,2013,28,DEN,16,2,2,WR
Drew Davis,2013,24,ATL,16,3,2,WR
Brandon Gibson,2013,26,MIA,7,3,2,WR
Marquise Goodwin,2013,23,BUF,12,1,2,WR
Leonard Hankerson,2013,24,WAS,10,7,2,WR
Dwayne Harris,2013,26,DAL,13,3,2,WR
Andrew Hawkins,2013,27,CIN,8,0,2,WR
Stephen Hill,2013,22,NYJ,12,11,2,WR
Trindon Holliday,2013,27,DEN,15,0,2,WR
Jerrel Jernigan,2013,24,NYG,15,3,2,WR
Darius Johnson,2013,22,ATL,10,2,2,WR
Lance Kendricks,2013,25,STL,15,13,2,WR
Keshawn Martin,2013,23,HOU,16,1,2,WR
Sidney Rice,2013,27,SEA,8,6,2,WR
Aldrick Robinson,2013,25,WAS,16,1,2,WR
Da'Rick Rogers,2013,22,IND,5,3,2,WR
Griff Whalen,2013,23,IND,9,3,2,WR
Damian Williams,2013,25,TEN,10,1,2,WR
Mike Williams,2013,26,TAM,6,5,2,WR
George Wilson,2013,32,TEN,16,3,2,WR
Seyi Ajirotutu,2013,26,SDG,14,0,1,WR
Josh Boyce,2013,22,NWE,9,3,1,WR
Kenny Britt,2013,25,TEN,12,3,1,WR
Jaron Brown,2013,23,ARI,16,0,1,WR
Ryan Broyles,2013,25,DET,6,3,1,WR
Brice Butler,2013,23,OAK,10,2,1,WR
Austin Collie,2013,28,NWE,7,1,1,WR
Malcom Floyd,2013,32,SDG,2,2,1,WR
Jacoby Ford,2013,26,OAK,14,1,1,WR
Clyde Gates,2013,27,NYJ,6,2,1,WR
Brittan Golden,2013,25,ARI,5,0,1,WR
Junior Hemingway,2013,25,KAN,16,2,1,WR
Domenik Hixon,2013,29,CAR,15,0,1,WR
Chris Hogan,2013,26,BUF,16,0,1,WR
A.J. Jenkins,2013,24,KAN,16,1,1,WR
Ricardo Lockette,2013,27,SEA,8,1,1,WR
Jeff Maehl,2013,24,PHI,16,0,1,WR
Mario Manningham,2013,27,SFO,6,3,1,WR
Josh Morgan,2013,28,WAS,14,7,1,WR
Chris Owusu,2013,23,TAM,9,4,1,WR
Eric Page,2013,22,TAM,16,1,1,WR
Quinton Patton,2013,23,SFO,6,0,1,WR
DeVier Posey,2013,23,HOU,14,0,1,WR
Greg Salas,2013,25,NYJ,8,0,1,WR
Dane Sanzenbacher,2013,25,CIN,10,1,1,WR
Brad Smith,2013,30,"BUF,PHI",8,0,1,WR
Brandon Stokley,2013,37,BAL,6,0,1,WR
Kerry Taylor,2013,24,"ARI,JAX",10,4,1,WR
Deonte Thompson,2013,24,BAL,7,0,1,WR
Nick Toon,2013,25,NOR,8,3,1,WR
Markus Wheaton,2013,22,PIT,12,1,1,WR
Myles White,2013,23,GNB,7,0,1,WR
Kyle Williams,2013,25,"KAN,SFO",10,5,1,WR
Joe Anderson,2013,25,CHI,6,0,0,WR
Jonathan Baldwin,2013,24,SFO,7,1,0,WR
Josh Bellamy,2013,24,WAS,5,0,0,WR
Stephen Burton,2013,24,JAX,4,2,0,WR
Michael Campbell,2013,24,NYJ,4,0,0,WR
Kevin Cone,2013,25,ATL,16,0,0,WR
Josh Cooper,2013,24,CLE,5,0,0,WR
Josh Cribbs,2013,30,NYJ,6,0,0,WR
Juron Criner,2013,24,OAK,1,0,0,WR
B.J. Cunningham,2013,24,PHI,2,0,0,WR
Skye Dawson,2013,23,TAM,7,0,0,WR
Marcus Easley,2013,26,BUF,16,0,0,WR
Jeremy Ebert,2013,24,JAX,5,0,0,WR
Patrick Edwards,2013,25,DET,4,2,0,WR
Tori Gurley,2013,26,CLE,3,0,0,WR
Chad Hall,2013,27,KAN,9,0,0,WR
Chris Harper,2013,24,GNB,4,0,0,WR
Percy Harvin,2013,25,SEA,1,0,0,WR
Lavelle Hawkins,2013,27,SDG,4,0,0,WR
Lestar Jean,2013,25,HOU,13,0,0,WR
Greg Jenkins,2013,24,OAK,6,0,0,WR
Damaris Johnson,2013,24,PHI,13,0,0,WR
Lance Lewis,2013,25,WAS,3,0,0,WR
Elbert Mack,2013,27,HOU,8,0,0,WR
Marvin McNutt,2013,24,CAR,1,0,0,WR
Marlon Moore,2013,26,"MIA,SFO",14,0,0,WR
Derek Moye,2013,25,PIT,7,0,0,WR
Louis Murphy,2013,26,NYG,14,0,0,WR
Ben Obomanu,2013,30,NYJ,3,0,0,WR
Kassim Osgood,2013,33,SFO,14,0,0,WR
Tobais Palmer,2013,23,JAX,1,0,0,WR
Niles Paul,2013,24,WAS,15,4,0,WR
Michael Preston,2013,24,TEN,7,0,0,WR
David Reed,2013,26,IND,7,0,0,WR
Darius Reynaud,2013,29,"NYJ,TEN",9,0,0,WR
Brian Robiskie,2013,26,ATL,1,0,0,WR
Denard Robinson,2013,23,JAX,16,0,0,WR
Michael Robinson,2013,30,SEA,9,3,0,WR
Russell Shepard,2013,23,TAM,14,0,0,WR
Matthew Slater,2013,28,NWE,12,0,0,WR
Brandon Smith,2013,26,BUF,2,0,0,WR
Rodney Smith,2013,23,MIN,4,0,0,WR
Jordy Nelson,2014,29,GNB,16,16,19,WR
Antonio Brown,2014,26,PIT,16,16,16,WR
Randall Cobb,2014,24,GNB,16,16,16,WR
Demaryius Thomas,2014,27,DEN,16,16,16,WR
Dez Bryant,2014,26,DAL,16,16,14,WR
Julio Jones,2014,25,ATL,15,15,14,WR
Emmanuel Sanders,2014,27,DEN,16,16,14,WR
Julian Edelman,2014,28,NWE,14,13,13,WR
T.Y. Hilton,2014,25,IND,15,15,12,WR
Odell Beckham Jr.,2014,22,NYG,12,11,11,WR
Brandon LaFell,2014,28,NWE,16,13,11,WR
Golden Tate,2014,26,DET,16,16,11,WR
DeAndre Hopkins,2014,22,HOU,16,16,10,WR
Steve Smith Sr.,2014,35,BAL,16,16,10,WR
Doug Baldwin,2014,26,SEA,16,16,9,WR
A.J. Green,2014,26,CIN,13,13,9,WR
Alshon Jeffery,2014,24,CHI,16,16,9,WR
Calvin Johnson,2014,29,DET,13,13,9,WR
Jeremy Maclin,2014,26,PHI,16,16,9,WR
Kelvin Benjamin,2014,23,CAR,16,15,8,WR
Anquan Boldin,2014,34,SFO,16,16,8,WR
Dwayne Bowe,2014,30,KAN,15,15,8,WR
Marques Colston,2014,31,NOR,16,13,8,WR
Mike Evans,2014,21,TAM,15,15,8,WR
DeSean Jackson,2014,28,WAS,15,13,8,WR
Andre Johnson,2014,33,HOU,15,15,8,WR
Rueben Randle,2014,23,NYG,16,13,8,WR
Mohamed Sanu,2014,25,CIN,16,13,8,WR
Kenny Stills,2014,22,NOR,15,7,8,WR
Mike Wallace,2014,28,MIA,16,16,8,WR
Sammy Watkins,2014,21,BUF,16,16,8,WR
Roddy White,2014,33,ATL,14,14,8,WR
Eric Decker,2014,27,NYJ,15,15,7,WR
Malcom Floyd,2014,33,SDG,16,16,7,WR
Vincent Jackson,2014,31,TAM,16,16,7,WR
Jarvis Landry,2014,22,MIA,16,11,7,WR
Torrey Smith,2014,25,BAL,16,16,7,WR
Reggie Wayne,2014,36,IND,15,15,7,WR
Keenan Allen,2014,22,SDG,14,14,6,WR
Kenny Britt,2014,26,STL,16,13,6,WR
Larry Fitzgerald,2014,31,ARI,14,13,6,WR
Michael Floyd,2014,25,ARI,16,14,6,WR
Greg Jennings,2014,31,MIN,16,13,6,WR
Jermaine Kearse,2014,24,SEA,15,14,6,WR
Brandon Marshall,2014,30,CHI,13,13,6,WR
Jordan Matthews,2014,22,PHI,16,10,6,WR
Eddie Royal,2014,28,SDG,16,11,6,WR
Markus Wheaton,2014,23,PIT,16,11,6,WR
Terrance Williams,2014,25,DAL,16,16,6,WR
Davante Adams,2014,22,GNB,16,11,5,WR
John Brown,2014,24,ARI,16,5,5,WR
Martavis Bryant,2014,23,PIT,10,3,5,WR
Brandin Cooks,2014,21,NOR,10,7,5,WR
Jerricho Cotchery,2014,32,CAR,15,13,5,WR
Michael Crabtree,2014,27,SFO,16,16,5,WR
Harry Douglas,2014,30,ATL,12,6,5,WR
Pierre Garcon,2014,28,WAS,16,14,5,WR
Percy Harvin,2014,26,"NYJ,SEA",13,12,5,WR
Andrew Hawkins,2014,28,CLE,15,15,5,WR
Andre Holmes,2014,26,OAK,16,13,5,WR
Wes Welker,2014,33,DEN,14,8,5,WR
Robert Woods,2014,22,BUF,16,15,5,WR
Jarius Wright,2014,25,MIN,16,7,5,WR
Kendall Wright,2014,25,TEN,14,11,5,WR
Tavon Austin,2014,24,STL,15,8,4,WR
Jason Avant,2014,31,"CAR,KAN",16,0,4,WR
Stedman Bailey,2014,24,STL,14,3,4,WR
Cole Beasley,2014,25,DAL,16,2,4,WR
Corey Brown,2014,23,CAR,13,3,4,WR
Riley Cooper,2014,27,PHI,16,16,4,WR
Taylor Gabriel,2014,23,CLE,16,2,4,WR
Brian Hartline,2014,28,MIA,16,16,4,WR
Allen Hurns,2014,23,JAX,16,8,4,WR
Charles Johnson,2014,25,MIN,12,6,4,WR
James Jones,2014,30,OAK,16,10,4,WR
Jeremy Kerley,2014,26,NYJ,16,7,4,WR
Donte Moncrief,2014,21,IND,16,2,4,WR
Hakeem Nicks,2014,26,IND,16,6,4,WR
Cordarrelle Patterson,2014,23,MIN,16,7,4,WR
Nate Washington,2014,31,TEN,16,11,4,WR
Kamar Aiken,2014,25,BAL,16,0,3,WR
Miles Austin,2014,30,CLE,12,11,3,WR
Victor Cruz,2014,28,NYG,6,6,3,WR
Brandon Gibson,2014,27,MIA,14,5,3,WR
Chris Hogan,2014,27,BUF,16,2,3,WR
Justin Hunter,2014,23,TEN,12,8,3,WR
Damaris Johnson,2014,25,HOU,16,8,3,WR
Steve Johnson,2014,28,SFO,13,1,3,WR
Marqise Lee,2014,23,JAX,13,8,3,WR
Louis Murphy,2014,27,TAM,11,3,3,WR
Preston Parker,2014,27,NYG,16,7,3,WR
Brian Quick,2014,25,STL,7,7,3,WR
Paul Richardson,2014,22,SEA,15,6,3,WR
Andre Roberts,2014,26,WAS,16,4,3,WR
Allen Robinson,2014,21,JAX,10,8,3,WR
Jeremy Ross,2014,26,DET,16,13,3,WR
Cecil Shorts,2014,27,JAX,13,12,3,WR
Albert Wilson,2014,22,KAN,12,2,3,WR
Danny Amendola,2014,29,NWE,16,4,2,WR
Donnie Avery,2014,30,KAN,6,3,2,WR
Travis Benjamin,2014,25,CLE,16,0,2,WR
Jaron Brown,2014,24,ARI,16,2,2,WR
Marlon Brown,2014,23,BAL,14,1,2,WR
Brice Butler,2014,24,OAK,15,0,2,WR
Corey Fuller,2014,24,DET,16,2,2,WR
Ted Ginn Jr.,2014,29,ARI,16,0,2,WR
Josh Gordon,2014,23,CLE,5,5,2,WR
Derek Hagan,2014,30,TEN,16,3,2,WR
